,question,answer,source
0,工学基礎演習 06組,"科目番号は工共100、教室は[月3]工1－321 [月4]工1－321、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は第１ｸｫｰﾀｰ、曜日時限は月3〜4、開講学部等は工学部工学科、講義コードは610000071、科目名[英文名]は工学基礎演習 06組、単位数は2、担当教員[ローマ字表記]は國田　樹　[Itsuki Kunita] 先生 ,  遠藤 聡志 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610000071&je_cd=1
1,キャリアデザイン入門 01組,"科目番号は工共101、教室は[火5]工1－221、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は第１ｸｫｰﾀｰ、曜日時限は火5、開講学部等は工学部工学科、講義コードは610001011、科目名[英文名]はキャリアデザイン入門 01組、単位数は1、担当教員[ローマ字表記]は神田 康行 先生 ,  石川 正明 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610001011&je_cd=1
2,キャリアデザイン入門 02組,"科目番号は工共101、教室は[火5]工1－222、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は第１ｸｫｰﾀｰ、曜日時限は火5、開講学部等は工学部工学科、講義コードは610001021、科目名[英文名]はキャリアデザイン入門 02組、単位数は1、担当教員[ローマ字表記]は神田 康行 先生 ,  石川 正明 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610001021&je_cd=1
3,キャリアデザイン入門 03組,"科目番号は工共101、教室は[火5]工1－221、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は第２ｸｫｰﾀｰ、曜日時限は火5、開講学部等は工学部工学科、講義コードは610001031、科目名[英文名]はキャリアデザイン入門 03組、単位数は1、担当教員[ローマ字表記]は神田 康行 先生 ,  石川 正明 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610001031&je_cd=1
4,キャリアデザイン入門 04組,"科目番号は工共101、教室は[火5]工1－222、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は第２ｸｫｰﾀｰ、曜日時限は火5、開講学部等は工学部工学科、講義コードは610001041、科目名[英文名]はキャリアデザイン入門 04組、単位数は1、担当教員[ローマ字表記]は神田 康行 先生 ,  石川 正明 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610001041&je_cd=1
5,工業数学Ⅰ 07組,科目番号は工共111、教室は[月3]工1－321 [月4]工1－321、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は第２ｸｫｰﾀｰ、曜日時限は月3〜4、開講学部等は工学部工学科、講義コードは610002071、科目名[英文名]は工業数学Ⅰ 07組、単位数は2、担当教員[ローマ字表記]は山田 孝治 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610002071&je_cd=1
6,プログラミングⅠ,科目番号は工共114、教室は[金1]工1－321、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は金1、開講学部等は工学部工学科、講義コードは610004071、科目名[英文名]はプログラミングⅠ、単位数は2、担当教員[ローマ字表記]は當間 愛晃 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610004071&je_cd=1
7,基礎数学Ⅰ 06組,"科目番号は工共118、教室は[木3]工1－321、登録人数は70、履修登録方法は調整期間登録、開講年度は2022、期間は前学期、曜日時限は木3、開講学部等は工学部工学科、講義コードは610005071、科目名[英文名]は基礎数学Ⅰ 06組、単位数は1、担当教員[ローマ字表記]は長山 格 先生 ,  岡﨑 威生 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610005071&je_cd=1
8,技術者の倫理 03組,科目番号は工共300、教室は[木1]工1－221、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は木1、開講学部等は工学部工学科、講義コードは610012071、科目名[英文名]は技術者の倫理 03組、単位数は2、担当教員[ローマ字表記]は和田 知久 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610012071&je_cd=1
9,キャリアデザイン 05組,科目番号は工共301、教室は[火4]工1－322 [火5]工1－322、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は火4〜5、開講学部等は工学部工学科、講義コードは610013071、科目名[英文名]はキャリアデザイン 05組、単位数は2、担当教員[ローマ字表記]は遠藤 聡志 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610013071&je_cd=1
