,question,answer,source
0,学年及び前学期開始,4月1日(金),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
1,シラバス・授業時間割配当表公開※2,4月1日(金),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
2,新入生オリエンテーション,4月4日(月)  ~ 4月7日 (木),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
3,授業科目の仮登録(前学期/第1・第2クォーター)※3,4月4日(月)  ~ 4月7日 (木),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
4,入学式,4月5日(火),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
5,仮登録抽選,4月8日(金),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
6,仮登録抽選結果開示,4月11日(月),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
7,登録調整期間(前学期/第1・第2クォーター),4月11日(月)  ~ 4月25日 (月),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
8,授業開始(前学期/第1クォーター),4月12日(火),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
9,定期健康診断,4月12日(火)  ~ 4月26日 (火),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
10,履修中止手続期間(第1クォーター),4月26日(火)  ~ 5月6日 (金),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
11,履修中止手続期間(前学期/前学期開始の通年科目),4月26日(火)  ~ 5月17日 (火),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
12,開学記念日,5月22日(日),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
13,体育祭,5月28日(土),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
14,教育実習,6月1日(水) ,https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
15,授業終了(第1クォーター)※8,6月10日(金),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
16,授業開始(第2クォーター),6月13日(月),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
17,履修中止手続期間(第2クォーター),6月13日(月)  ~ 7月1日 (金),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
18,慰霊の日(休講),6月23日(木),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
19,成績開示(第1クォーター),7月1日(金),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
